Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,Converted Salary,City,State,Company Age (years),Title Grouping,Seniority Level
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village,CO,5.0,analyst,na
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Denver,CO,,analyst,senior
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote,4.0,analyst,junior
Business Data Analyst,56 ,112,79314 ,4.3,Intuit - Data,"San Diego, CA",10000+ Employees,1983.0,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,79314 ,San Diego,CA,39.0,analyst,na
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside,CA,5.0,analyst,na
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver,CO,,analyst,na
Data Analyst (focus on PowerBI and DAX),80 ,100,90000 ,5.0,RSM Solutions Inc,Remote,1 to 50 Employees,,Contract,Business Consulting,Management & Consulting,Less than $1 million (USD),0,90000 ,Remote,Remote,,analyst,na
Senior Data Analyst,77 ,142,104871 ,3.6,Point32Health,"Canton, MA",1001 to 5000 Employees,2021.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,104871 ,Canton,MA,1.0,analyst,senior
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus,OH,130.0,analyst,na
"Data Analyst, Commercial Buildings and Integrated Systems",80 ,86,83000 ,3.6,Northwest Energy Efficiency Alliance,Remote,51 to 200 Employees,1996.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $50 million (USD),0,83000 ,Remote,Remote,26.0,analyst,na
Senior Data Analyst (Remote),64 ,119,87409 ,3.8,Epsilon,"Chicago, IL",5001 to 10000 Employees,1969.0,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),0,87409 ,Chicago,IL,53.0,analyst,senior
"Strategy and Data Analyst, Sustainability",79 ,164,113854 ,4.0,Uber,"San Francisco, CA",10000+ Employees,2009.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,113854 ,San Francisco,CA,13.0,analyst,na
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca,IL,48.0,analyst,na
Senior Data Science Analyst,70 ,108,86836 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,86836 ,Riverwoods,IL,37.0,analyst,senior
Data Analyst,48 ,95,67240 ,3.6,Lucid Motors,"Casa Grande, AZ",5001 to 10000 Employees,2007.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,0,67240 ,Casa Grande,AZ,15.0,analyst,na
Data Analyst,45 ,91,64041 ,3.8,"Disney Parks,Parks, Experiences and Products","Memphis, TN",10000+ Employees,1901.0,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),0,64041 ,Memphis,TN,121.0,analyst,na
Cybersecurity Analyst II (Remote),100 ,180,140000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,140000 ,Atlanta,GA,44.0,analyst,na
HR Data Analyst,50 ,55,52500 ,3.8,Percepta,Remote,1001 to 5000 Employees,2000.0,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),0,52500 ,Remote,Remote,22.0,analyst,na
Digital Data Analyst,50 ,94,68946 ,3.3,Amica Mutual Insurance Company,"Lincoln, RI",1001 to 5000 Employees,1907.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,68946 ,Lincoln,RI,115.0,analyst,na
IT Data Analyst - Meter Data Lake,77 ,110,93333 ,3.8,Xcel Energy,"Denver, CO",10000+ Employees,1909.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),0,93333 ,Denver,CO,113.0,analyst,na
Senior Data Analyst,95 ,105,100000 ,3.2,SRP Companies,"Castle Rock, CO",1001 to 5000 Employees,1969.0,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable,0,100000 ,Castle Rock,CO,53.0,analyst,senior
Data Analyst - Merchandising (Remote),40 ,89,59811 ,3.8,CustomInk,"New York, NY",1001 to 5000 Employees,2000.0,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD),0,59811 ,New York,NY,22.0,analyst,na
Data and Systems Analyst,62 ,111,82954 ,3.6,XLA Associates,"Lorton, VA",201 to 500 Employees,1989.0,Private Practice / Firm,Business Consulting,Management & Consulting,$25 to $50 million (USD),0,82954 ,Lorton,VA,33.0,analyst,na
Data Modelling Analyst,40 ,85,58299 ,3.9,Aurora Energy Research Limited,"Austin, TX",201 to 500 Employees,2013.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,58299 ,Austin,TX,9.0,analyst,na
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village,CO,5.0,analyst,na
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu,HI,30.0,analyst,na
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside,CA,5.0,analyst,na
"Data Analyst, Commercial Buildings and Integrated Systems",80 ,86,83000 ,3.6,Northwest Energy Efficiency Alliance,Remote,51 to 200 Employees,1996.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $50 million (USD),0,83000 ,Remote,Remote,26.0,analyst,na
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca,IL,48.0,analyst,na
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote,4.0,analyst,junior
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Denver,CO,,analyst,senior
Business Data Analyst,56 ,112,79314 ,4.3,Intuit - Data,"San Diego, CA",10000+ Employees,1983.0,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,79314 ,San Diego,CA,39.0,analyst,na
Data Analyst (Health),62 ,130,89532 ,3.6,General Dynamics,"Washington, DC",10000+ Employees,1952.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,89532 ,Washington,DC,70.0,analyst,na
Data Analyst (focus on PowerBI and DAX),80 ,100,90000 ,5.0,RSM Solutions Inc,Remote,1 to 50 Employees,,Contract,Business Consulting,Management & Consulting,Less than $1 million (USD),0,90000 ,Remote,Remote,,analyst,na
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver,CO,,analyst,na
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus,OH,130.0,analyst,na
"Strategy and Data Analyst, Sustainability",79 ,164,113854 ,4.0,Uber,"San Francisco, CA",10000+ Employees,2009.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,113854 ,San Francisco,CA,13.0,analyst,na
Senior Data Science Analyst,70 ,108,86836 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,86836 ,Riverwoods,IL,37.0,analyst,senior
Data Analyst,48 ,95,67240 ,3.6,Lucid Motors,"Casa Grande, AZ",5001 to 10000 Employees,2007.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,0,67240 ,Casa Grande,AZ,15.0,analyst,na
Senior Data Analyst,68 ,114,87836 ,3.1,Frontier,"Dallas, TX",10000+ Employees,1935.0,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),0,87836 ,Dallas,TX,87.0,analyst,senior
Data Analyst,52 ,95,70327 ,3.6,Vanguard,"Malvern, PA",10000+ Employees,1975.0,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,70327 ,Malvern,PA,47.0,analyst,na
Data Transformation Analyst II/Customer Support Associate,41 ,84,58793 ,3.9,Dow Jones,"Rockville, MD",5001 to 10000 Employees,1882.0,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD),0,58793 ,Rockville,MD,140.0,analyst,na
Cybersecurity Analyst II (Remote),100 ,180,140000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,140000 ,Atlanta,GA,44.0,analyst,na
Data Analyst,45 ,83,61122 ,3.5,Aldi,"Batavia, IL",10000+ Employees,1976.0,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,0,61122 ,Batavia,IL,46.0,analyst,na
Data Analyst I,44 ,87,61903 ,3.8,Astreya,"Denver, CO",1001 to 5000 Employees,2001.0,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,61903 ,Denver,CO,21.0,analyst,na
Data Analyst,46 ,86,63149 ,3.6,VNS Health,Manhattan,10000+ Employees,1893.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),0,63149 ,Manhattan,NY,129.0,analyst,na
Data Analyst,45 ,91,64041 ,3.8,"Disney Parks,Parks, Experiences and Products","Memphis, TN",10000+ Employees,1901.0,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),0,64041 ,Memphis,TN,121.0,analyst,na
Business Analyst,64 ,90,77000 ,3.7,Sagitec,Remote,501 to 1000 Employees,2004.0,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,77000 ,Remote,Remote,18.0,analyst,na
Data Analyst - Merchandising (Remote),40 ,89,59811 ,3.8,CustomInk,"New York, NY",1001 to 5000 Employees,2000.0,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD),0,59811 ,New York,NY,22.0,analyst,na
Data and Systems Analyst,62 ,111,82954 ,3.6,XLA Associates,"Lorton, VA",201 to 500 Employees,1989.0,Private Practice / Firm,Business Consulting,Management & Consulting,$25 to $50 million (USD),0,82954 ,Lorton,VA,33.0,analyst,na
Data Modelling Analyst,40 ,85,58299 ,3.9,Aurora Energy Research Limited,"Austin, TX",201 to 500 Employees,2013.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,58299 ,Austin,TX,9.0,analyst,na
Sustainability Data Analyst,57 ,102,76105 ,4.2,Colgate-Palmolive,"New York, NY",10000+ Employees,1806.0,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,76105 ,New York,NY,216.0,analyst,na
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village,CO,5.0,analyst,na
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside,CA,5.0,analyst,na
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu,HI,30.0,analyst,na
Data Analyst,55 ,112,78511 ,3.8,"Disney Parks,Parks, Experiences and Products","New York, NY",10000+ Employees,1901.0,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),0,78511 ,New York,NY,121.0,analyst,na
Data Analyst (focus on PowerBI and DAX),80 ,100,90000 ,5.0,RSM Solutions Inc,Remote,1 to 50 Employees,,Contract,Business Consulting,Management & Consulting,Less than $1 million (USD),0,90000 ,Remote,Remote,,analyst,na
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca,IL,48.0,analyst,na
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote,4.0,analyst,junior
Business Data Analyst,56 ,112,79314 ,4.3,Intuit - Data,"San Diego, CA",10000+ Employees,1983.0,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,79314 ,San Diego,CA,39.0,analyst,na
"Data Analyst, Commercial Buildings and Integrated Systems",80 ,86,83000 ,3.6,Northwest Energy Efficiency Alliance,Remote,51 to 200 Employees,1996.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $50 million (USD),0,83000 ,Remote,Remote,26.0,analyst,na
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver,CO,,analyst,na
Senior Data Analyst,77 ,142,104871 ,3.6,Point32Health,"Canton, MA",1001 to 5000 Employees,2021.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,104871 ,Canton,MA,1.0,analyst,senior
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Denver,CO,,analyst,senior
Data Analyst (Health),62 ,130,89532 ,3.6,General Dynamics,"Washington, DC",10000+ Employees,1952.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,89532 ,Washington,DC,70.0,analyst,na
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus,OH,130.0,analyst,na
Senior Data Science Analyst,70 ,108,86836 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,86836 ,Riverwoods,IL,37.0,analyst,senior
"Strategy and Data Analyst, Sustainability",79 ,164,113854 ,4.0,Uber,"San Francisco, CA",10000+ Employees,2009.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,113854 ,San Francisco,CA,13.0,analyst,na
Cybersecurity Analyst II (Remote),100 ,180,140000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,140000 ,Atlanta,GA,44.0,analyst,na
Data Analyst,48 ,95,67240 ,3.6,Lucid Motors,"Casa Grande, AZ",5001 to 10000 Employees,2007.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,0,67240 ,Casa Grande,AZ,15.0,analyst,na
Data Analyst,52 ,95,70327 ,3.6,Vanguard,"Malvern, PA",10000+ Employees,1975.0,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,70327 ,Malvern,PA,47.0,analyst,na
Data Analyst,46 ,86,63149 ,3.6,VNS Health,Manhattan,10000+ Employees,1893.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),0,63149 ,Manhattan,NY,129.0,analyst,na
Senior Data Analyst,68 ,114,87836 ,3.1,Frontier,"Dallas, TX",10000+ Employees,1935.0,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),0,87836 ,Dallas,TX,87.0,analyst,senior
Data Analyst,45 ,83,61122 ,3.5,Aldi,"Batavia, IL",10000+ Employees,1976.0,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,0,61122 ,Batavia,IL,46.0,analyst,na
Data Analyst I,44 ,87,61903 ,3.8,Astreya,"Denver, CO",1001 to 5000 Employees,2001.0,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,61903 ,Denver,CO,21.0,analyst,na
IT-Data Analyst,45 ,82,61021 ,3.9,Federated Mutual Insurance Company,"Owatonna, MN",1001 to 5000 Employees,1904.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,61021 ,Owatonna,MN,118.0,analyst,na
Data and Systems Analyst,62 ,111,82954 ,3.6,XLA Associates,"Lorton, VA",201 to 500 Employees,1989.0,Private Practice / Firm,Business Consulting,Management & Consulting,$25 to $50 million (USD),0,82954 ,Lorton,VA,33.0,analyst,na
Data and Systems Analyst,62 ,111,82954 ,3.6,XLA Associates,"Lorton, VA",201 to 500 Employees,1989.0,Private Practice / Firm,Business Consulting,Management & Consulting,$25 to $50 million (USD),0,82954 ,Lorton,VA,33.0,analyst,na
Sustainability Data Analyst,57 ,102,76105 ,4.2,Colgate-Palmolive,"New York, NY",10000+ Employees,1806.0,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,76105 ,New York,NY,216.0,analyst,na
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village,CO,5.0,analyst,na
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu,HI,30.0,analyst,na
Senior Data Analyst,77 ,142,104871 ,3.6,Point32Health,"Canton, MA",1001 to 5000 Employees,2021.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,104871 ,Canton,MA,1.0,analyst,senior
Data Analyst,55 ,112,78511 ,3.8,"Disney Parks,Parks, Experiences and Products","New York, NY",10000+ Employees,1901.0,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),0,78511 ,New York,NY,121.0,analyst,na
"Data Analyst, Commercial Buildings and Integrated Systems",80 ,86,83000 ,3.6,Northwest Energy Efficiency Alliance,Remote,51 to 200 Employees,1996.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $50 million (USD),0,83000 ,Remote,Remote,26.0,analyst,na
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside,CA,5.0,analyst,na
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca,IL,48.0,analyst,na
Data Analyst (focus on PowerBI and DAX),80 ,100,90000 ,5.0,RSM Solutions Inc,Remote,1 to 50 Employees,,Contract,Business Consulting,Management & Consulting,Less than $1 million (USD),0,90000 ,Remote,Remote,,analyst,na
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote,4.0,analyst,junior
Business Data Analyst,56 ,112,79314 ,4.3,Intuit - Data,"San Diego, CA",10000+ Employees,1983.0,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,79314 ,San Diego,CA,39.0,analyst,na
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus,OH,130.0,analyst,na
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver,CO,,analyst,na
Data Analyst (Health),62 ,130,89532 ,3.6,General Dynamics,"Washington, DC",10000+ Employees,1952.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,89532 ,Washington,DC,70.0,analyst,na
"Strategy and Data Analyst, Sustainability",79 ,164,113854 ,4.0,Uber,"San Francisco, CA",10000+ Employees,2009.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,113854 ,San Francisco,CA,13.0,analyst,na
Cybersecurity Analyst II (Remote),100 ,180,140000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,140000 ,Atlanta,GA,44.0,analyst,na
Data Analyst,45 ,83,61122 ,3.5,Aldi,"Batavia, IL",10000+ Employees,1976.0,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,0,61122 ,Batavia,IL,46.0,analyst,na
Cybersecurity Analyst II (Remote),100 ,180,140000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,140000 ,Atlanta,GA,44.0,analyst,na
Data Analyst,52 ,95,70327 ,3.6,Vanguard,"Malvern, PA",10000+ Employees,1975.0,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,70327 ,Malvern,PA,47.0,analyst,na
Senior Data Analyst,68 ,114,87836 ,3.1,Frontier,"Dallas, TX",10000+ Employees,1935.0,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),0,87836 ,Dallas,TX,87.0,analyst,senior
Data Analyst,45 ,83,61122 ,3.5,Aldi,"Batavia, IL",10000+ Employees,1976.0,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,0,61122 ,Batavia,IL,46.0,analyst,na
Junior Data Analyst,51 ,85,67909 ,,Professional Services,"Hackensack, NJ",,,,,,,0,67909 ,Hackensack,NJ,,analyst,junior
Remote Data Manipulation Analyst,100 ,120,110000 ,4.1,Michael Page,"Bensalem, PA",201 to 500 Employees,,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,0,110000 ,Bensalem,PA,,analyst,na
IT-Data Analyst,45 ,82,61021 ,3.9,Federated Mutual Insurance Company,"Owatonna, MN",1001 to 5000 Employees,1904.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,61021 ,Owatonna,MN,118.0,analyst,na
Data Analyst - Merchandising (Remote),40 ,89,59811 ,3.8,CustomInk,"New York, NY",1001 to 5000 Employees,2000.0,Company - Private,Other Retail Stores,Retail & Wholesale,$100 to $500 million (USD),0,59811 ,New York,NY,22.0,analyst,na
Data and Systems Analyst,62 ,111,82954 ,3.6,XLA Associates,"Lorton, VA",201 to 500 Employees,1989.0,Private Practice / Firm,Business Consulting,Management & Consulting,$25 to $50 million (USD),0,82954 ,Lorton,VA,33.0,analyst,na
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu,HI,30.0,analyst,na
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca,IL,48.0,analyst,na
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village,CO,5.0,analyst,na
Business Analyst I,45 ,75,57805 ,3.9,Miami University,"Oxford, OH",5001 to 10000 Employees,1809.0,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,57805 ,Oxford,OH,213.0,analyst,na
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Denver,CO,,analyst,senior
Data Analyst (focus on PowerBI and DAX),80 ,100,90000 ,5.0,RSM Solutions Inc,Remote,1 to 50 Employees,,Contract,Business Consulting,Management & Consulting,Less than $1 million (USD),0,90000 ,Remote,Remote,,analyst,na
"Data Analyst, Commercial Buildings and Integrated Systems",80 ,86,83000 ,3.6,Northwest Energy Efficiency Alliance,Remote,51 to 200 Employees,1996.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $50 million (USD),0,83000 ,Remote,Remote,26.0,analyst,na
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote,4.0,analyst,junior
Data Analyst,47 ,94,66457 ,3.8,"Disney Parks,Parks, Experiences and Products","Wake Forest, NC",10000+ Employees,1901.0,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),0,66457 ,Wake Forest,NC,121.0,analyst,na
Senior Data Science Analyst,70 ,108,86836 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,86836 ,Riverwoods,IL,37.0,analyst,senior
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus,OH,130.0,analyst,na
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver,CO,,analyst,na
